page_id	source_id	order_key	printed_page	pdf_page	section	page_kind	pass1	pass2	source_oid
PG-TASAKI2020-0066	TASAKI2020	000066	52	66	§3.1	content	complete	complete	3803df94635d5066c06bb4a32c289498d7163528
PG-TASAKI2020-0067	TASAKI2020	000067	53	67	§3.2	content	complete	complete	a51400c47ccdcdadd28d906450b5ef64280f4cc4
PG-TASAKI2020-0068	TASAKI2020	000068	54	68	§3.2	content	complete	complete	5ea7875a6c526810f64f72de12871fabf9f630fe
PG-TASAKI2020-0069	TASAKI2020	000069	55	69	§3.2	content	complete	complete	463c92040915e1d5a5451f06d7c270966b9716e2
PG-TASAKI2020-0070	TASAKI2020	000070	56	70	§3.3	content	complete	complete	1c3e55fdb14258490156ff645acc013cfc912b5b
PG-TASAKI2020-0071	TASAKI2020	000071	57	71	§3.3	content	complete	complete	b9fee72962acbb1c353cebf0593a53f4bf6fdaa9
PG-TASAKI2020-0072	TASAKI2020	000072	58	72	§3.3	content	complete	complete	7d78b861d22ab32a5b3c393342088bd1cd27399d
PG-TASAKI2020-0073	TASAKI2020	000073	59	73	§3.3	content	complete	complete	9fcc996fd295d5510f1ee154c73e2e46fb38c43e
PG-TASAKI2020-0074	TASAKI2020	000074	60	74	§3.3	content	complete	complete	ea4c2c83bc097ee42c4193fc293436e310434111
PG-TASAKI2020-0075	TASAKI2020	000075	61	75	§3.3	content	complete	complete	75aa3d53d37f8ab42660eea5c3155e29a559d060
PG-TASAKI2020-0076	TASAKI2020	000076	62	76	§3.3	content	complete	complete	a2a49c1e772473129b07e2e4d01362ce2d453c91
PG-TASAKI2020-0077	TASAKI2020	000077	63	77	§3.3	content	complete	complete	9f3f7a6514ae0f1b2b9c976b2aef42871164db56
PG-TASAKI2020-0078	TASAKI2020	000078	64	78	§3.3	content	complete	complete	f1c90b5986971a0e9a18a0c3d6ae9fc13795bc85
PG-TASAKI2020-0079	TASAKI2020	000079	65	79	§3.4	content	complete	complete	90d701a855cee468d15eb515ff7fcbaa689b4740
PG-TASAKI2020-0080	TASAKI2020	000080	66	80	§3.4	content	complete	complete	d567ea5f9c4dd647fc46cf17b612f804671fbd01
PG-TASAKI2020-0081	TASAKI2020	000081	67	81	§3.4	content	complete	complete	49829e3f2d8b3f8b7dab4bb9a5708e8539a64f9c
PG-TASAKI2020-0082	TASAKI2020	000082	68	82	§3.4	content	complete	complete	5173520568f53d3cb3730c9b9746a019dc6dae08
PG-TASAKI2020-0083	TASAKI2020	000083	69	83	§3.4	content	complete	complete	57a91911007ae1459fafcf9ebb6985e1d54deaf9
PG-TASAKI2020-0084	TASAKI2020	000084	70	84	§3.4	content	complete	complete	8de2dc47d677b90565bac0a1b9983659158a3f71
PG-TASAKI2020-0085	TASAKI2020	000085	71	85	References	content	complete	complete	f50e3a7c6b3ca9f88529e8f1201d7bf244cb4286
PG-TASAKI2020-0086	TASAKI2020	000086	73	86	NONE	content	complete	complete	6319c4af73bddb14d7249041f85e922eee5c8d6a
PG-TASAKI2020-0087	TASAKI2020	000087	74	87	§4.1.1	content	complete	complete	ed5e1328ba01a3cec327a659f0e9dae74d9af136
PG-TASAKI2020-0088	TASAKI2020	000088	75	88	§4.1.1	content	complete	complete	10da6e5b9fa63d29dea501bf0b2a33ebada35f7f
PG-TASAKI2020-0089	TASAKI2020	000089	76	89	§4.1.1	content	complete	complete	71870fa3a949c0ee50dc21058d36b61911f52599
PG-TASAKI2020-0090	TASAKI2020	000090	77	90	§4.1.1	content	complete	complete	8bc3f001c3dba252eda0a81cfa6d87de38b33f56
PG-TASAKI2020-0091	TASAKI2020	000091	78	91	§4.1.1	content	complete	complete	786b23d6f43ac1a51dbe2672cca155dfdfc727ca
PG-TASAKI2020-0092	TASAKI2020	000092	79	92	§4.1.2	content	complete	complete	302ac5e4d5c47392d955a021dab7ce4247d6143b
PG-TASAKI2020-0093	TASAKI2020	000093	80	93	§4.1.2	content	complete	complete	61faf502809698121fb0ab71b1de3c4d7be42518
PG-TASAKI2020-0094	TASAKI2020	000094	81	94	§4.1.2	content	complete	complete	6dea553bf064603e52d8f0ce5785d6022add618c
PG-TASAKI2020-0095	TASAKI2020	000095	82	95	§4.1.2	content	complete	complete	5bb4bc0048a7eddf944dd68a4071f013e43ec7ee
PG-TASAKI2020-0096	TASAKI2020	000096	83	96	§4.1.2	content	complete	complete	a078014f734da1cb8ea208495eafc467c83fb0f4
PG-TASAKI2020-0097	TASAKI2020	000097	84	97	§4.1.2	content	complete	complete	29b11eb7a4fa01ca6771723a97553708e056617b
PG-TASAKI2020-0098	TASAKI2020	000098	85	98	§4.1.2	content	complete	complete	9bcafab5cf4b7556a499252c9b16ce10b156d9a8
PG-TASAKI2020-0099	TASAKI2020	000099	86	99	§4.1.2	content	complete	complete	929c6baadda24f44084c46f90e61dba956da8886
PG-TASAKI2020-0100	TASAKI2020	000100	87	100	§4.1.2	content	complete	complete	4ab8b7b78803d42afddc30dc4063075ed20581d3
PG-TASAKI2020-0101	TASAKI2020	000101	88	101	§4.1.2	content	complete	complete	cd63824561654bf86423165689513a6b0234771b
PG-TASAKI2020-0102	TASAKI2020	000102	89	102	§4.1.2	content	complete	complete	a391da14903a7a8396f5f075209e13b1b732081a
PG-TASAKI2020-0103	TASAKI2020	000103	90	103	§4.1.2	content	complete	complete	c625bb8813f7977d5ba39c5600a1e76ef1137c31
PG-TASAKI2020-0104	TASAKI2020	000104	91	104	§4.1.2	content	complete	complete	248bdd570ebc30254f3789bcd79366a91c10ba2c
